X,Y,MANUFACTUR,OWNER,CITY_FILE,SHEET_NUM,YEAR_BUILT,STATUS,SOURCE,COMMENT,PIPE_ID,ASSETID,LAST_UPDAT,STATION,TRUCK,SHIFT,INSPECTION,CONDITION,icon_url
-97.0300388854174,32.6835097339252,MUELLER,PRIVATE,P-1583,C5.1,"2018",ACTIVE,AS BUILT,,,"7741",2019/11/14,,,,,,./0.png
-97.0512443312395,32.6759691751599,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7749",2019/12/05,,,,,,./0.png
-97.0512478324472,32.6751272514578,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7750",2019/12/05,,,,,,./0.png
-97.0502998413097,32.6749962782556,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7751",2019/12/05,,,,,,./0.png
-97.049640891628,32.6755663016487,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7752",2019/12/05,,,,,,./0.png
-97.0503376838467,32.6761604447016,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7753",2019/12/05,,,,,,./0.png
-97.0494600239741,32.6760112558595,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7754",2019/12/05,,,,,,./0.png
-97.0485707746195,32.6759369151805,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7755",2019/12/05,,,,,,./0.png
-97.0486737332513,32.6748872189382,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7756",2019/12/05,,,,,,./0.png
-97.0495455908025,32.6748891511631,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7757",2019/12/05,,,,,,./0.png
-97.048111312228,32.6753262195424,MUELLER,GRAND PRAIRIE,P-1458,C10.1~C10.2,"2015",ACTIVE,AS BUILT,,,"7758",2019/12/05,,,,,,./0.png
-96.9998780678105,32.771787341841,MUELLER,GRAND PRAIRIE,P-1540,48~58,"2018",ACTIVE,AS BUILT,,,"7759",2019/12/05,,,,,,./0.png
-96.9969985456284,32.771754326481,MUELLER,GRAND PRAIRIE,P-1540,48~58,"2018",ACTIVE,AS BUILT,,,"7760",2019/12/05,,,,,,./0.png
-96.9957027350316,32.7716801006876,MUELLER,GRAND PRAIRIE,P-1540,48~58,"2018",ACTIVE,AS BUILT,,,"7761",2019/12/05,,,,,,./0.png
